id,month,area,humidity
43496,1,Jacksonville,72.801
43497,2,Jacksonville,67.65
43498,2,Jacksonville,69.91
43499,2,Jacksonville,74.005
43500,2,Jacksonville,70.838
43501,2,Jacksonville,73.426
43502,2,Jacksonville,72.802
43503,2,Jacksonville,75.08
43504,2,Jacksonville,73.469
43505,2,Jacksonville,71.299
43506,2,Jacksonville,72.308
43507,2,Jacksonville,69.309
43508,2,Jacksonville,73.882
43509,2,Jacksonville,70.374
43510,2,Jacksonville,69.289
43511,2,Jacksonville,68.524
43512,2,Jacksonville,75.801
43513,2,Jacksonville,72.512
43514,2,Jacksonville,71.47
43515,2,Jacksonville,74.189
43516,2,Jacksonville,75.535
43517,2,Jacksonville,71.858
43518,2,Jacksonville,70.392
43519,2,Jacksonville,73.198
43520,2,Jacksonville,74.871
43521,2,Jacksonville,75.509
43522,2,Jacksonville,73.712
43523,2,Jacksonville,69.611
43524,2,Jacksonville,73.019
43525,3,Jacksonville,75.882
43526,3,Jacksonville,73.314
43527,3,Cambridge,70.681
43528,3,Jacksonville,70.811
43529,3,Cambridge,72.731
43530,3,Jacksonville,74.019
43531,3,Jacksonville,68.366
43532,3,Jacksonville,71.225
43533,3,Jacksonville,74.048
43534,3,Jacksonville,67.403
43535,3,Jacksonville,71.948
43536,3,Jacksonville,72.09
43537,3,Jacksonville,71.668
43538,3,Jacksonville,69.871
43539,3,Jacksonville,72.264
43540,3,Jacksonville,71.463
43541,3,Jacksonville,73.863
43542,3,Jacksonville,70.506
43543,3,Jacksonville,70.509
43544,3,Jacksonville,71.235
43545,3,Jacksonville,73.75
43546,3,Jacksonville,71.393
43547,3,Jacksonville,71.848
43548,3,Jacksonville,68.696
43549,3,Jacksonville,68.048
43550,3,Jacksonville,70.341
43551,3,Jacksonville,69.393
43552,3,Jacksonville,71.301
43553,3,Jacksonville,72.924
43554,3,Jacksonville,72.898
43555,3,Jacksonville,70.23
43556,4,Jacksonville,71.685
43557,4,Jacksonville,72.236
43558,4,Jacksonville,68.986
43559,4,Cambridge,73.573
43560,4,Jacksonville,73.382
43561,4,Cambridge,69.399
43562,4,Jacksonville,70.075
43563,4,Jacksonville,72.914
43564,4,Jacksonville,74.829
43565,4,Jacksonville,70.587
43566,4,Jacksonville,71.95
43567,4,Jacksonville,73.141
43568,4,Jacksonville,67.582
43569,4,Jacksonville,70.708
43570,4,Jacksonville,73.234
43571,4,Jacksonville,68.204
43572,4,Jacksonville,69.589
43573,4,Jacksonville,67.833
43574,4,Jacksonville,72.039
43575,4,Jacksonville,74.767
43576,4,Jacksonville,66.989
43577,4,Jacksonville,72.329
43578,4,Cambridge,68.286
43579,4,Cambridge,72.698
43580,4,Cambridge,71.097
43581,4,Cambridge,71.337
43582,4,Cambridge,66.385
43583,4,Jacksonville,70.368
43584,4,Jacksonville,72.287
43585,4,Jacksonville,72.876
43586,5,Jacksonville,70.968
43587,5,Jacksonville,69.044
43588,5,Jacksonville,72.459
43589,5,Jacksonville,73.731
43590,5,Jacksonville,69.185
43591,5,Jacksonville,72.344
43592,5,Jacksonville,74.07
43593,5,Jacksonville,68.072
43594,5,Jacksonville,67.402
43595,5,Jacksonville,68.353
43596,5,Jacksonville,67.263
43597,5,Cambridge,67.243
43598,5,Jacksonville,65.992
43599,5,Cambridge,67.265
43600,5,Jacksonville,69.084
43601,5,Jacksonville,70.493
43602,5,Jacksonville,70.061
43603,5,Jacksonville,70.914
43604,5,Jacksonville,69.928
43605,5,Jacksonville,69.581
43606,5,Jacksonville,68.717
43607,5,Jacksonville,65.774
43608,5,Jacksonville,68.309
43609,5,Jacksonville,69.527
43610,5,Jacksonville,67.901
43611,5,Jacksonville,67.123
43612,5,Jacksonville,65.379
43613,5,Jacksonville,68.067
43614,5,Jacksonville,70.699
43615,5,Jacksonville,65.954
43616,5,Jacksonville,70.78
43617,6,Jacksonville,71.072
43618,6,Cambridge,69.878
43619,6,Jacksonville,70.504
43620,6,Cambridge,66.156
43621,6,Jacksonville,67.642
43622,6,Jacksonville,66.277
43623,6,Jacksonville,66.956
43624,6,Jacksonville,72.228
43625,6,Jacksonville,69.29
43626,6,Jacksonville,68.095
43627,6,Jacksonville,65.519
43628,6,Jacksonville,66.126
43629,6,Cambridge,68.489
43630,6,Cambridge,68.452
43631,6,Cambridge,69.575
43632,6,Cambridge,66.209
43633,6,Cambridge,68.246
43634,6,Jacksonville,71.805
43635,6,Jacksonville,70.896
43636,6,Jacksonville,66.145
43637,6,Jacksonville,70.307
43638,6,Jacksonville,67.119
43639,6,Jacksonville,65.304
43640,6,Jacksonville,65.815
43641,6,Jacksonville,69.089
43642,6,Jacksonville,68.005
43643,6,Jacksonville,69.809
43644,6,Jacksonville,68.314
43645,6,Jacksonville,65.339
43646,6,Jacksonville,72.103
